tanda,model,prompt_label,success_rate
BASE_SinConversion,deepseek-v3,Estricto,94.44444444444444
BASE_SinConversion,deepseek-v3,Inductor,11.11111111111111
BASE_SinConversion,deepseek-v3,Ultra,100.0
BASE_SinConversion,haiku,Estricto,0.0
BASE_SinConversion,haiku,Inductor,0.0
BASE_SinConversion,haiku,Ultra,66.66666666666666
CharSwap_Ofuscacion,deepseek-v3,Estricto,77.77777777777779
CharSwap_Ofuscacion,deepseek-v3,Inductor,11.11111111111111
CharSwap_Ofuscacion,deepseek-v3,Ultra,100.0
CharSwap_Ofuscacion,haiku,Estricto,0.0
CharSwap_Ofuscacion,haiku,Inductor,0.0
CharSwap_Ofuscacion,haiku,Ultra,77.77777777777779
LLM_MaliciousQ,deepseek-v3,Estricto,83.33333333333334
LLM_MaliciousQ,deepseek-v3,Inductor,33.33333333333333
LLM_MaliciousQ,deepseek-v3,Ultra,100.0
LLM_MaliciousQ,haiku,Estricto,0.0
LLM_MaliciousQ,haiku,Inductor,33.33333333333333
LLM_MaliciousQ,haiku,Ultra,77.77777777777779
LLM_Noise,deepseek-v3,Estricto,83.33333333333334
LLM_Noise,deepseek-v3,Inductor,11.11111111111111
LLM_Noise,deepseek-v3,Ultra,100.0
LLM_Noise,haiku,Estricto,5.555555555555555
LLM_Noise,haiku,Inductor,22.22222222222222
LLM_Noise,haiku,Ultra,83.33333333333334
LLM_Tone_Aggressive,deepseek-v3,Estricto,77.77777777777779
LLM_Tone_Aggressive,deepseek-v3,Inductor,22.22222222222222
LLM_Tone_Aggressive,deepseek-v3,Ultra,100.0
LLM_Tone_Aggressive,haiku,Estricto,22.22222222222222
LLM_Tone_Aggressive,haiku,Inductor,50.0
LLM_Tone_Aggressive,haiku,Ultra,88.88888888888889
ROT13_Cifrado,deepseek-v3,Estricto,66.66666666666666
ROT13_Cifrado,deepseek-v3,Inductor,0.0
ROT13_Cifrado,deepseek-v3,Ultra,100.0
ROT13_Cifrado,haiku,Estricto,0.0
ROT13_Cifrado,haiku,Inductor,0.0
ROT13_Cifrado,haiku,Ultra,0.0
